Vorname,Anzahl,Geschlecht
Alexia-Alexandra,4,w
Alexios,4,m
Alexis,4,w
Aleyla,4,w
Aleyna,4,w
Aleyna-Maryam,4,w
Alfie,4,m
Alfons,4,m
Alfred,4,m
Alica,4,w
Alieu,4,m
Alija,4,m
Alika,4,w
Aliki,4,w
Alima,4,w
Alin,4,w
Aline,4,w
Aliona,4,w
Alis,4,w
Alisah,4,w
Alisha,4,w
Alissa,4,w
Alita,4,w
Aliyah,4,w
Aliyan,4,m
Aliza,4,w
Alizé,4,w
Alizée,4,w
Aljoša,4,m
Allan,4,m
Allegra,4,w
Allegria,4,w
Ally,4,w
Almila,4,w
Almin,4,m
Almira,4,w
Almis,4,m
Almut,4,w
Alois,4,m
Alonja,4,w
Aloys,4,m
Alp,4,m
Alpacino,4,m
Alparslan,4,m
Alparslan-Ayaz,4,m
Alpaslan,4,m
Alpay,4,m
Alper,4,m
Alsion,4,m
Altay,4,m
Altea,4,w
Alvaressio,4,m
Alvaro,4,m
Álvaro,4,m
Alvina,4,w
Alwin,4,m
Alya,4,w
Alyna,4,w
Alyson,4,w
Alyssa,4,w
Alžbeta,4,w
Amadou,4,m
Amaia,4,w
Amaja,4,w
Amal,4,w
Amalie,4,w
Amana,4,w
Amanda,4,w
Amani,4,w
Amara,4,w
Amarah,4,w
Amari,4,w
Amaris,4,m
Amaru,4,m
Amav,4,m
Amay,4,m
Amayra,4,w
Amdiyah,4,w
Amedea-Elissa,4,w
Ameer,4,m
Amel,4,m
Amela,4,w
Amelie-Sofie,4,w
Amelie-Sophie,4,w
Amelio,4,m
Amely,4,w
Amen,4,w
Amia,4,w
Amiira,4,w
Amilia,4,w
Amin,4,m
Aminah,4,w
Amine,4,w
Ammar,4,m
Amna,4,w
Amora,4,w
Amos,4,m
Amr,4,m
Amram,4,m
Amran,4,w
An,4,w
Anabella,4,w
Anais,4,w
Anando,4,m
Ananya,4,w
Anas,4,m
Anastasia-Sofia,4,w
Anastasija,4,w
Anastasios,4,m
Anastazia,4,w
Anat,4,w
Anaya,4,w
Anays,4,w
Anays-Sophya,4,w
Anđela,4,w
Andja,4,w
Andjela,4,w
Andjelina,4,w
Andre,4,m
André,4,m
Andrea,4,m
Andrei,4,m
Andreo,4,m
Andrian,4,m
Andrii,4,m
Andrin,4,m
Andy,4,m
Andzhelina,4,w
Anel,4,m
Anela,4,w
Anelia,4,w
Anes,4,m
Anesa,4,w
Aneto,4,m
Anfas,4,w
Angel,4,w
Angel,4,m
Ángel,4,m
Angela,4,w
Angelika,4,w
Angelina,4,w
Angelique,4,w
Angelo,4,m
Angelos,4,m
Anh,4,w
Anhelina,4,w
Ani,4,w
Anian,4,m
Anik,4,m
Anika,4,w
Anir,4,m
Aniruddh,4,m
Anisa,4,w
Anita,4,w
Anja,4,w
Anka,4,w
Anker,4,m
Anmay,4,m
Anmol,4,m
Annabel,4,w
Annabell,4,w
Annabella,4,w
Annabelle,4,w
Annaël,4,m
Annalena,4,w
Anna-Lena,4,w
Annalisa,4,w
Annamaria,4,w
Anna-Maria,4,w
Anna-Marie,4,w
Annapurna,4,w
Anna-Schahla,4,w
Anna-Soleil,4,w
Anna-Sophia,4,w
Anna-Sophie,4,w
Anne,4,w
Annelie,4,w
Anneliese,4,w
Annelise,4,w
Anne-Marie,4,w
Anni,4,w
Annie,4,w
Annina,4,w
Ann-Sophie,4,w
Anor,4,m
Anoush,4,w
Ansel,4,m
Anselm,4,m
Anshii,4,w
Anshika,4,w
Anskar,4,m
Ante,4,m
Antea,4,w
Anto,4,m
Antonij,4,m
Antonija,4,w
Antonino,4,m
Antonios,4,m
Antonius,4,m
Antony,4,m
Anuar,4,m
Anusha,4,w
Anwitha,4,w
Anya,4,w
Anze,4,m
Aparaajitha,4,w
Apollonia,4,w
Aratna,4,w
Araz,4,m
Ardahan,4,m
Ardian,4,m
Ardior,4,m
Ardisiya,4,w
Areen,4,m
Arel,4,m
Ares,4,m
Arhaan,4,m
Arham,4,m
Aria,4,m
Ariadne,4,w
Ariane,4,w
Arianna,4,w
Arian-Nibras,4,m
Ariel,4,m
Arif,4,m
Arijan,4,m
Arika,4,w
Arin,4,m
Arina,4,w
Arini,4,w
Arion,4,m
Aris,4,m
Arish,4,m
Arison,4,m
Arivière,4,w
Ariwan,4,m
Ariya,4,w
Arjen,4,m
Arjon,4,m
Arjun,4,m
Arkan,4,m
Arlo,4,m
Armaan,4,m
Arman,4,m
Armand,4,m
Armina,4,w
Arnaldo,4,m
Arne,4,m
Arnid,4,m
Arno,4,m
Arnošt,4,m
Áron,4,m
Arsen,4,m
Arseniiy,4,m
Arsenije,4,m
Arseniy,4,m
Arshia,4,w
Arshil,4,m
Arslan,4,m
Art,4,m
Artam,4,m
Artem,4,m
Artemi,4,m
Artemis,4,w
Artemisa,4,w
Artemiy,4,m
Arti,4,m
Artis,4,w
Arturo,4,m
Artus,4,m
Aruzhan,4,w
Arven,4,w
Arvid,4,m
Arvin,4,m
Arwa,4,w
Arwan,4,m
Ary,4,m
Arya,4,w
Arya,4,m
Aryam,4,w
Aryan,4,m
Aryas,4,m
Aryn-Leena,4,w
Aryob,4,m
Asaf,4,m
Asal,4,w
Asan,4,m
Asel,4,w
Asen,4,m
Asena,4,w
Asier,4,m
Asija,4,w
Asinat,4,w
Asiya,4,w
Asiye,4,w
Asja,4,w
Aslyn,4,w
Asma,4,w
Asra,4,w
Assiel,4,w
Assya,4,w
Astra,4,w
Ata,4,m
Atay,4,m
Atdhe,4,m
Atena,4,w
Ates,4,m
Ateş,4,m
Athanasios,4,m
Atharv,4,m
Athina,4,w
Atina,4,w
Atlas,4,m
Atrin,4,w
Atticus,4,m
Attilio,4,m
Attley,4,m
Audrey,4,w
Augusta,4,w
Auguste,4,m
Augustin,4,m
Augustinus,4,m
Augustus,4,m
Aulona,4,w
Aun,4,m
Aura,4,w
Aurel,4,m
Aurela,4,w
Aurelian,4,m
Aurelio,4,m
Aurelius,4,m
Aurél-Victor,4,m
Auri,4,w
Auron,4,m
Aurona,4,w
Avaan,4,m
Ava-Marlena,4,w
Ava-Maximilia,4,w
Avan,4,m
Avand,4,m
Avanya,4,w
Avelina,4,w
Aventus,4,m
Avery,4,w
Avet,4,m
Avi,4,m
Avie,4,w
Aviel,4,m
Avienna,4,w
Avin,4,w
Avy,4,m
Avyaan,4,m
Avyan,4,m
Avyay,4,m
Avyukt,4,m
Awa,4,w
Awais,4,m
Axel,4,m
Ayaan,4,m
Ayan,4,m
Ayana,4,w
Ayan-George,4,m
Ayansh,4,m
Ayanshi,4,w
Ayas,4,m
Ayat,4,w
Aybüke,4,w
Ayda,4,w
Ayden,4,m
Ayesha,4,w
Ayham,4,m
Ayhan,4,m
Ayleen,4,w
Aylin,4,w
Aylin-Elena,4,w
Aylis,4,w
Ayliz,4,w
Ayman,4,m
Ayngel,4,w
Aynura,4,w
Ayse,4,w
Ayshe,4,w
Ayumi,4,w
Ayushman,4,m
Ayzal,4,w
Azaan,4,m
Azam,4,m
Azat,4,m
Azim,4,m
Aziz,4,m
Azlan,4,m
Babak,4,m
Bade,4,w
Bader,4,m
Bahar,4,w
Bahram,4,m
Baki-Rio,4,m
Balder,4,m
Baldur,4,m
Balša,4,m
Balthasar,4,m
Balthazar,4,m
Bambi,4,w
Bane,4,m
Banks,4,m
Bảo,4,m
Baran,4,m
Bardh,4,m
Baris,4,m
Barkha,4,w
Barna,4,m
Bartholomäus,4,m
Bartu,4,m
Basit,4,m
Basset,4,m
Bato,4,m
Batu,4,m
Batuhan,4,m
Baya,4,w
Bayan,4,w
Beatrice,4,w
Behram,4,m
Bejina,4,w
Bekir,4,m
Bela,4,m
Belinay,4,w
Belinda,4,w
Bella,4,w
Bella-Eleonor,4,w
Belmin,4,m
Beltrán,4,m
Benazir,4,w
Benedict,4,m
Benedikte,4,w
Benito,4,m
Benjámin,4,m
Bennet,4,m
Bennett,4,m
Bennik,4,m
Ben-Ralf,4,m
Bente,4,w
Benyamin,4,m
Berat,4,m
Beren,4,w
Beril,4,w
Berin,4,m
Berina,4,w
Beritan,4,w
Berk,4,m
Berkan,4,m
Berkcan,4,m
Berna,4,w
Bertil,4,m
Béryl,4,w
Besmira,4,w
Betelhem,4,w
Bethany,4,w
Beya,4,w
Beyhan,4,m
Bhavigna,4,w
Bhuvan,4,m
Bianca,4,w
Bibi,4,w
Bidur,4,w
Bilan,4,w
Bilge,4,w
Bill,4,m
Binsa,4,w
Bintou,4,w
Bitaniya,4,w
Bjarne,4,m
Bjorn,4,m
Björn,4,m
Blanka,4,w
Blendi,4,m
Blin,4,m
Bohdan,4,m
Bojan,4,m
Bojidara,4,w
Boldizsár,4,m
Bonnie,4,w
Bora,4,w
Bora,4,m
Boris,4,m
Bosco,4,m
Bouchra,4,w
Bozhidara,4,w
Brando,4,m
Brian,4,m
Brianna-Maria,4,w
Bron,4,m
Bruna,4,w
Bryan,4,m
Bulut,4,m
Burak,4,m
Buray,4,m
Burhan,4,m
Bushra,4,w
Caecilia,4,w
Caelan,4,m
Çağhan,4,m
Cai,4,m
Caia,4,w
Caio,4,m
Caitlyn,4,w
Caleo,4,m
Calvin,4,m
Camie,4,w
Camila,4,w
Camilia,4,w
Camilla,4,w
Camille,4,w
Camille,4,m
Camillo,4,m
Camina,4,w
Candice,4,w
Cara,4,w
Carina,4,w
Carl-Leo,4,m
Carlo-Felix,4,m
Carlos,4,m
Carlota,4,w
Carmela,4,w
Carmen,4,w
Caroline,4,w
Carolynn,4,w
Casey,4,w
Casimir,4,m
Caspian,4,m
Cát,4,m
Cataleya,4,w
Cataleya-Milena,4,w
Cataleya-Natalia,4,w
Catalina,4,w
Catarina,4,w
Cathaleya,4,w
Catharina,4,w
Catherine,4,w
Catrina,4,w
Cedric,4,m
Celeste,4,w
Céleste,4,w
Celia,4,w
Celin,4,w
Célina,4,w
Cemal,4,m
Cennet,4,w
César,4,m
Cevdet,4,m
Ceyda,4,w
Ceyla,4,w
Ceylin,4,w
Cezar,4,m
Chaitrika,4,w
Chantina-Michelle,4,w
Chara,4,w
Charalampos,4,m
Charbel,4,m
Charles,4,m
Charlie,4,w
Charlott,4,w
Charlotta,4,w
Charly,4,m
Chavdar,4,m
Chavin,4,m
Chawan,4,w
Chengis,4,m
Chernor,4,m
Chi,4,m
Chika,4,w
Chikaima,4,w
Chimdindu,4,w
Chimdinma,4,w
Chimechefulam,4,m
Chimkasi,4,m
Chiwendu,4,w
Chloé,4,w
Chris,4,m
Christoph,4,m
Christopher,4,m
Christos,4,m
Chrysovalantis,4,m
Chukwuebuka,4,m
Chun-Li,4,w
Ciel,4,m
Cihangir,4,m
Cilian,4,m
Cinar,4,m
Ciro,4,m
Ciwano,4,m
Çiyager,4,m
Clair,4,w
Claire,4,w
Clara-Maria,4,w
Clara-Muxin,4,w
Clarissa,4,w
Claudia,4,w
Clea,4,w
Cléa,4,w
Clementine,4,w
Cléo,4,w
Cleopatra,4,w
Coco,4,w
Colin,4,m
Colonel,4,m
Confidence,4,w
Conrad,4,m
Constantin-Maximilian,4,m
Constanza,4,w
Constanze,4,w
Cora,4,w
Coralie,4,w
Corbinian,4,m
Cornelia,4,w
Cornelius,4,m
Cosimo,4,m
Cristobal,4,m
Cyara,4,w
Dafina,4,w
Daham,4,m
Dahlia,4,w
Dahn,4,w
Daimens,4,m
Daisy,4,w
Dajjen,4,m
Dajla,4,w
Daksh,4,m
Dalal,4,w
Dalija,4,w
Dalil,4,m
Dalin,4,w
Dalyan,4,m
Damaris,4,w
Damaris-Lidia,4,w
Damas,4,w
Damhat,4,m
Damián,4,m
Damir,4,m
Damjan,4,m
Damla,4,w
Dan,4,m
Dana,4,w
Dandara,4,w
Daner,4,m
Danes,4,m
Dania,4,w
Daniels,4,m
Daniil,4,m
Danilo,4,m
Danis,4,m
Daniyal,4,m
Danjel,4,m
Danyal,4,m
Daphnie,4,w
Dar,4,m
Dardan,4,m
Daren,4,m
Darija,4,w
Darin,4,w
Darin,4,m
Darina,4,w
Dario,4,m
Daris,4,m
Darius,4,m
Dariya,4,w
Darjo,4,m
Darko,4,m
Darwin,4,m
Darya,4,w
Daryna,4,w
Datis,4,m
Daud,4,m
Dauda,4,m
Davi,4,m
Dávid,4,m
Davide,4,m
David-Levi,4,m
Davin,4,m
Davinci,4,m
Davud,4,m
Davyd,4,m
Dawit,4,m
Dawood,4,m
Dayan,4,m
Dea,4,w
Dean,4,m
Deborah,4,w
Deeksh,4,m
Deen,4,m
Defne,4,w
Deia,4,w
Delayne,4,w
Delia,4,w
Delia-Noelle,4,w
Delil,4,m
Delin,4,w
Delina,4,w
Delja,4,w
Delya,4,w
Demian,4,m
Demir,4,m
Dena,4,w
Denan,4,m
Denil,4,m
Denis,4,m
Deniz,4,w
Deniz,4,m
Deniz-Natalia,4,w
Denka,4,w
Dennis,4,m
Deon,4,m
Deran,4,m
Derek,4,m
Derin,4,w
Derya,4,w
Desire,4,m
Désirée,4,w
Desitha,4,w
Despina,4,w
Despot,4,m
Destiny,4,m
Dev,4,m
Devan,4,m
Devano,4,m
Devansh,4,m
Devid,4,m
Devin,4,w
Devin,4,m
Devran,4,m
Dewayne,4,m
Deyan,4,m
Deyjah,4,w
Deyyan,4,m
Deyzi,4,w
Dhanush,4,m
Dhanvi,4,w
Dharshanshaurya,4,m
Dhriti,4,w
Dhruv,4,m
Dhyana,4,w
Diaa,4,m
Diamond,4,m
Diamonds,4,m
Dian,4,m
Diana-Olympia,4,w
Diar,4,m
Diart,4,m
Diell,4,m
Diessa,4,w
Dihaan,4,m
Dila,4,w
Dilan,4,m
Dilara,4,w
Dilet,4,w
Dimitar,4,m
Dimitra,4,w
Dimitrios,4,m
Dimyana,4,w
Din,4,m
Dina,4,w
Dino,4,m
Dion,4,m
Diona,4,w
Dior,4,m
Divreen,4,w
Divyanshi,4,w
Diyan,4,m
Diyar,4,m
Diyo,4,m
Djelli,4,m
Djuradj,4,m
Dldar,4,m
Dljan,4,m
Doah,4,w
Doan,4,w
Doga,4,w
Doha,4,w
Dolores,4,w
Dominic-Vasile,4,m
Dominika,4,w
Doncho,4,m
Donia,4,w
Donika,4,w
Donya,4,w
Dora,4,w
Đorđe,4,m
Dorela,4,w
Doris,4,w
Dorka-Szofia,4,w
Doron,4,w
Dorotea,4,w
Dorothea,4,w
Dragana,4,w
Dren,4,m
Dua,4,m
Duar,4,m
Duc,4,m
Ðức,4,m
Duena,4,w
Duje,4,m
Dunja,4,w
Dunya,4,w
Dünya,4,w
Dušan,4,m
Duy,4,m
Dylan,4,m
Dynia,4,w
Džan,4,m
Dz̆enan,4,m
Ebbo,4,m
Ebenezer,4,m
Ebrar,4,w
Ebu,4,m
Ebube,4,m
Ecaterina,4,w
Ece,4,w
Ecrin,4,w
Ectoras,4,m
Edda,4,w
Eddie,4,m
Eddy,4,m
Eden,4,m
Edhem,4,m
Edian,4,m
Edin,4,m
Edis,4,m
Ediz,4,m
Edmund,4,m
Edna,4,w
Edoardo,4,m
Edona,4,w
Édouard,4,m
Eduard,4,m
Edvard,4,m
Edvin,4,m
Edward-Matei,4,m
